nome_municipio,produtividade_kg_ha,valor_por_hectare
Campo Maior,3.66352972073886,0.17896054013831747
Buriti dos Lopes,12.060286360211002,0.17618588294398393
Cajazeiras do Piauí,0.18146214099216709,0.17362924281984335
Alvorada do Gurguéia,0.15826113861386137,0.17264851485148514
Patos do Piauí,0.17488584474885846,0.17253904109589041
Landri Sales,0.21085340139829098,0.16883566751747864
Pajeú do Piauí,0.15933806146572105,0.16879432624113475
Alagoinha do Piauí,0.38357265698186549,0.16847666070105283
Santa Cruz dos Milagres,0.18258235516849677,0.16586114350624762
Floriano,1.9034523534840793,0.16496508710198435
Regeneração,14.514603994022551,0.16489597880722728
Vera Mendes,0.14023086789226166,0.16460025651988028
Sebastião Leal,0.2073050345508391,0.16386969397828233
Aroazes,1.39875,0.16280962499999999
São João da Fronteira,0.15102755194218609,0.16265808491418249
Aroeiras do Itaim,0.14953703703703702,0.16203703703703703
Cocal,11.122056202358831,0.16187637503634322
Oeiras,3.0509982759579555,0.16059659918803182
Alegrete do Piauí,0.16482354854447878,0.1588922670352903
Colônia do Piauí,0.18339390550740844,0.15873382722952192
Santana do Piauí,0.16803429271279854,0.15771129210042867
São Braz do Piauí,0.13359964491788726,0.15589720372836219
São José do Divino,0.14953373560065825,0.15466413603949533
São José do Peixe,0.17607973421926909,0.15387937643751598
Teresina,9.31687155574396,0.15307592623993216
Antônio Almeida,2.2838827838827838,0.15220418956043957
Água Branca,5.7148029818956338,0.15156986155484559
Piracuruca,5.8759480573231935,0.1500911759532309
Porto Alegre do Piauí,0.21491751491751493,0.14833274833274834
Jacobina do Piauí,0.16599190283400811,0.14580485829959516
Vila Nova do Piauí,0.13453194846174074,0.14511569813305286
Pedro Laurentino,0.087751371115173671,0.14076782449725778
São Francisco de Assis do Piauí,0.1298828125,0.140625
Wall Ferraz,0.14188153310104529,0.13979094076655052
Nova Santa Rita,0.12820512820512819,0.13675213675213677
Curral Novo do Piauí,0.18181818181818182,0.13636363636363635
Isaías Coelho,0.16924727885942051,0.13526918595738158
Santa Cruz do Piauí,0.43770789234956153,0.1352250075597218
Elesbão Veloso,0.86272940527114672,0.13219111356423346
Santa Rosa do Piauí,0.15626309174696271,0.13118408043569332
Nazaré do Piauí,0.2483704817904189,0.128063558047313
Anísio de Abreu,0.11388196176226101,0.12718204488778054
São Julião,1.1349224663097655,0.12607103101347608
Pedro II,4.0109876231371562,0.1239256612420164
Floresta do Piauí,0.13567438148443736,0.12170790103750997
Guaribas,0.12548512289780078,0.1203104786545925
Várzea Branca,0.14285714285714285,0.11840464919695688
Bom Jesus,0.20858398889403054,0.11813438223044885
São Miguel do Tapuio,1.0104085711113577,0.1180879954479849
Rio Grande do Piauí,0.74863220330316516,0.11723210103799152
Itainópolis,1.8626657461851597,0.11664605184850142
Parnaíba,13.020506091846299,0.11641698969072165
Padre Marcos,3.1851375674980713,0.1143390717408074
Conceição do Canindé,0.56467181467181471,0.11293624517374516
