ano,sigla_uf,produto,area_colhida_ha,producao_total,produtividade_media,valor_total_producao
2018,RO,Caju,,,,
2018,RO,Castanha de caju,,,,
2018,RR,Caju,,,,
2018,RR,Castanha de caju,,,,
2018,RS,Caju,,,,
2018,RS,Castanha de caju,,,,
2018,SC,Caju,,,,
2018,SC,Castanha de caju,,,,
2018,SE,Caju,,,,
2018,SE,Castanha de caju,,,,
2018,SP,Caju,,,,
2018,SP,Castanha de caju,,,,
2018,TO,Caju,,,,
2018,TO,Castanha de caju,6,7.0,1167.0,35.0
2017,AC,Caju,,,,
2017,AC,Castanha de caju,,,,
2017,AL,Caju,,,,
2017,AL,Castanha de caju,1039,760.0,744.30612244897964,2013.0
2017,AM,Caju,,,,
2017,AM,Castanha de caju,,,,
2017,AP,Caju,,,,
2017,AP,Castanha de caju,,,,
2017,BA,Caju,,,,
2017,BA,Castanha de caju,15915,3372.0,282.3888888888888,11504.0
2017,CE,Caju,,,,
2017,CE,Castanha de caju,311375,81098.0,215.50657894736841,284112.0
2017,DF,Caju,,,,
2017,DF,Castanha de caju,,,,
2017,ES,Caju,,,,
2017,ES,Castanha de caju,,,,
2017,GO,Caju,,,,
2017,GO,Castanha de caju,,,,
2017,MA,Caju,,,,
2017,MA,Castanha de caju,14326,5665.0,385.44247787610618,10484.0
2017,MG,Caju,,,,
2017,MG,Castanha de caju,,,,
2017,MS,Caju,,,,
2017,MS,Castanha de caju,,,,
2017,MT,Caju,,,,
2017,MT,Castanha de caju,155,93.0,600.0,186.0
2017,PA,Caju,,,,
2017,PA,Castanha de caju,2335,1459.0,903.0,2021.0
2017,PB,Caju,,,,
2017,PB,Castanha de caju,3363,893.0,282.23469387755119,1767.0
2017,PE,Caju,,,,
2017,PE,Castanha de caju,2658,2491.0,789.72,5170.0
2017,PI,Caju,,,,
2017,PI,Castanha de caju,76376,17100.0,257.010752688172,50471.0
2017,PR,Caju,,,,
2017,PR,Castanha de caju,,,,
2017,RJ,Caju,,,,
2017,RJ,Castanha de caju,,,,
2017,RN,Caju,,,,
2017,RN,Castanha de caju,61135,20670.0,356.92537313432837,33392.0
2017,RO,Caju,,,,
2017,RO,Castanha de caju,,,,
2017,RR,Caju,,,,
2017,RR,Castanha de caju,,,,
2017,RS,Caju,,,,
2017,RS,Castanha de caju,,,,
2017,SC,Caju,,,,
2017,SC,Castanha de caju,,,,
2017,SE,Caju,,,,
2017,SE,Castanha de caju,,,,
2017,SP,Caju,,,,
2017,SP,Castanha de caju,,,,
2017,TO,Caju,,,,
